

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
279.859  000.482  000.482: sourcing /Users/hongxin/.vim/bundle/nerdtree/autoload/nerdtree/ui_glue.vim
282.877  000.123  000.123: sourcing /Users/hongxin/.vim/bundle/nerdtree/nerdtree_plugin/exec_menuitem.vim
283.640  000.708  000.708: sourcing /Users/hongxin/.vim/bundle/nerdtree/nerdtree_plugin/fs_menu.vim
284.767  000.765  000.765: sourcing /Users/hongxin/.vim/bundle/vim-nerdtree-tabs/nerdtree_plugin/vim-nerdtree-tabs.vim
285.565  012.149  006.532: sourcing /Users/hongxin/.vim/bundle/nerdtree/plugin/NERD_tree.vim
286.299  000.553  000.553: sourcing /Users/hongxin/.vim/bundle/vim-surround/plugin/surround.vim
286.821  000.359  000.359: sourcing /Users/hongxin/.vim/bundle/conflict-marker.vim/plugin/conflict_marker.vim
287.485  000.509  000.509: sourcing /Users/hongxin/.vim/bundle/auto-pairs/plugin/auto-pairs.vim
288.158  000.264  000.264: sourcing /Users/hongxin/.vim/bundle/ctrlp.vim/autoload/ctrlp/mrufiles.vim
288.320  000.692  000.427: sourcing /Users/hongxin/.vim/bundle/ctrlp.vim/plugin/ctrlp.vim
288.504  000.037  000.037: sourcing /Users/hongxin/.vim/bundle/ctrlp-funky/plugin/funky.vim
289.160  000.513  000.513: sourcing /Users/hongxin/.vim/bundle/vim-multiple-cursors/plugin/multiple_cursors.vim
289.626  000.317  000.317: sourcing /Users/hongxin/.vim/bundle/sessionman.vim/plugin/sessionman.vim
290.387  000.614  000.614: sourcing /Users/hongxin/.vim/bundle/matchit.zip/plugin/matchit.vim
290.932  000.186  000.186: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline.vim
291.298  000.140  000.140: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/init.vim
291.863  000.127  000.127: sourcing /Users/hongxin/.vim/bundle/vim-airline/autoload/airline/parts.vim
292.744  002.210  001.758: sourcing /Users/hongxin/.vim/bundle/vim-airline/plugin/airline.vim
292.939  000.029  000.029: sourcing /Users/hongxin/.vim/bundle/vim-airline-themes/plugin/airline-themes.vim
293.534  000.115  000.115: sourcing /Users/hongxin/.vim/bundle/vim-bufferline/autoload/bufferline.vim
293.648  000.550  000.435: sourcing /Users/hongxin/.vim/bundle/vim-bufferline/plugin/bufferline.vim
300.288  006.486  006.486: sourcing /Users/hongxin/.vim/bundle/vim-easymotion/plugin/EasyMotion.vim
300.707  000.197  000.197: sourcing /Users/hongxin/.vim/bundle/undotree/plugin/undotree.vim
301.514  000.415  000.415: sourcing /Users/hongxin/.vim/bundle/vim-indent-guides/autoload/indent_guides.vim
302.055  001.189  000.775: sourcing /Users/hongxin/.vim/bundle/vim-indent-guides/plugin/indent_guides.vim
302.427  000.208  000.208: sourcing /Users/hongxin/.vim/bundle/restore_view.vim/plugin/restore_view.vim
302.983  000.404  000.404: sourcing /Users/hongxin/.vim/bundle/vim-signify/plugin/signify.vim
304.422  001.284  001.284: sourcing /Users/hongxin/.vim/bundle/vim-abolish/plugin/abolish.vim
304.850  000.267  000.267: sourcing /Users/hongxin/.vim/bundle/vim-over/plugin/over.vim
306.470  001.121  001.121: sourcing /Users/hongxin/.vim/bundle/vim-textobj-user/autoload/textobj/user.vim
309.417  004.340  003.219: sourcing /Users/hongxin/.vim/bundle/vim-textobj-indent/plugin/textobj/indent.vim
310.043  000.078  000.078: sourcing /Users/hongxin/.vim/bundle/wildfire.vim/autoload/wildfire/triggers.vim
